STATE,total_ballot
United States,50.00%
Alabama,47.00%
Alaska,54.80%
Arizona,47.40%
Arkansas,41.30%
California,49.30%
Colorado,61.40%
Connecticut,54.80%
Delaware,51.20%
District of Columbia,43.70%
Florida,54.30%
Georgia,54.10%
Hawaii,39.50%
Idaho,48.60%
Illinois,51.50%
Indiana,46.50%
Iowa,57.90%
Kansas,51.10%
Kentucky,48.70%
Louisiana,45.10%
Maine,59.90%
Maryland,54.20%
Massachusetts,54.60%
Michigan,57.70%
Minnesota,64.20%
Mississippi,43.80%
Missouri,53.30%
Montana,61.30%
Nebraska,51.50%
Nevada,46.50%
New Hampshire,54.00%
New Jersey,53.50%
New Mexico,46.80%
New York,45.70%
North Carolina,49.00%
North Dakota,58.70%
Ohio,50.90%
Oklahoma,42.10%
Oregon,61.20%
Pennsylvania,51.70%
Rhode Island,47.50%
South Carolina,44.50%
South Dakota,53.10%
Tennessee,44.70%
Texas,45.60%
Utah,50.60%
Vermont,55.70%
Virginia,54.40%
Washington,58.30%
West Virginia,42.50%
Wisconsin,61.40%
Wyoming,47.90%
